ingreso_id,empresa_id,empresa,tipo_empresa,anio,mes,mes_nombre,trimestre,ingresos_mxn,costos_mxn,margen_bruto_mxn,margen_pct,empleados_activos,revenue_por_empleado_mxn
ING00041,E02,Tata Consultancy Services,Outsourcing Global,2024,5,May,Q2,97404969.56,58863045.72,38541923.84,39.57,1212,80367.14
ING00042,E02,Tata Consultancy Services,Outsourcing Global,2024,6,June,Q2,113236653.47,66521064.83,46715588.64,41.25,1233,91838.32
ING00043,E02,Tata Consultancy Services,Outsourcing Global,2024,7,July,Q3,95678855.68,63562089.14,32116766.53,33.57,1181,81015.12
ING00044,E02,Tata Consultancy Services,Outsourcing Global,2024,8,August,Q3,108657991.11,65131912.88,43526078.22,40.06,1189,91386.03
ING00045,E02,Tata Consultancy Services,Outsourcing Global,2024,9,September,Q3,104931151.86,65485130.42,39446021.43,37.59,1218,86150.37
ING00046,E02,Tata Consultancy Services,Outsourcing Global,2024,10,October,Q4,102394342.52,67078750.33,35315592.19,34.49,1209,84693.42
ING00047,E02,Tata Consultancy Services,Outsourcing Global,2024,11,November,Q4,89330699.72,64073995.23,25256704.5,28.27,1227,72804.16
ING00048,E02,Tata Consultancy Services,Outsourcing Global,2024,12,December,Q4,105758497.95,66713617.15,39044880.8,36.92,1218,86829.64
ING00049,E03,Neoris,Consultoría Regional,2023,1,January,Q1,40673444.09,27668460.48,13004983.61,31.97,968,42018.02
ING00050,E03,Neoris,Consultoría Regional,2023,2,February,Q1,42437756.41,27960267.76,14477488.65,34.11,982,43215.64
ING00051,E03,Neoris,Consultoría Regional,2023,3,March,Q1,50910638.88,29762300.29,21148338.59,41.54,988,51528.99
ING00052,E03,Neoris,Consultoría Regional,2023,4,April,Q2,44891880.64,29908880.82,14982999.82,33.38,938,47859.15
ING00053,E03,Neoris,Consultoría Regional,2023,5,May,Q2,57344173.62,33772812.79,23571360.82,41.11,946,60617.52
ING00054,E03,Neoris,Consultoría Regional,2023,6,June,Q2,56908803.5,39508909.86,17399893.64,30.58,968,58790.09
ING00055,E03,Neoris,Consultoría Regional,2023,7,July,Q3,45168148.87,28096401.16,17071747.72,37.8,952,47445.53
ING00056,E03,Neoris,Consultoría Regional,2023,8,August,Q3,52432857.08,35354959.18,17077897.89,32.57,949,55250.64
ING00057,E03,Neoris,Consultoría Regional,2023,9,September,Q3,54767587.67,32135218.1,22632369.57,41.32,978,55999.58
ING00058,E03,Neoris,Consultoría Regional,2023,10,October,Q4,57532455.48,37948048.05,19584407.43,34.04,967,59495.82
ING00059,E03,Neoris,Consultoría Regional,2023,11,November,Q4,45017815.75,28808271.03,16209544.72,36.01,951,47337.35
ING00060,E03,Neoris,Consultoría Regional,2023,12,December,Q4,56764804.86,36020582.75,20744222.1,36.54,949,59815.39
ING00061,E03,Neoris,Consultoría Regional,2024,1,January,Q1,57248983.72,36846930.16,20402053.56,35.64,931,61491.93
ING00062,E03,Neoris,Consultoría Regional,2024,2,February,Q1,54187741.4,32267846.39,21919895.01,40.45,940,57646.53
ING00063,E03,Neoris,Consultoría Regional,2024,3,March,Q1,64768888.61,39366506.14,25402382.47,39.22,938,69049.99
ING00064,E03,Neoris,Consultoría Regional,2024,4,April,Q2,57594263.74,37210221.42,20384042.33,35.39,951,60561.79
ING00065,E03,Neoris,Consultoría Regional,2024,5,May,Q2,68841628.39,43375558.34,25466070.05,36.99,953,72236.76
ING00066,E03,Neoris,Consultoría Regional,2024,6,June,Q2,63615311.51,37864116.72,25751194.79,40.48,942,67532.18
ING00067,E03,Neoris,Consultoría Regional,2024,7,July,Q3,62598519.65,37257193.82,25341325.83,40.48,977,64072.18
ING00068,E03,Neoris,Consultoría Regional,2024,8,August,Q3,64784211.75,40534229.68,24249982.07,37.43,968,66925.84
ING00069,E03,Neoris,Consultoría Regional,2024,9,September,Q3,68524737.99,46409645.28,22115092.71,32.27,952,71979.77
ING00070,E03,Neoris,Consultoría Regional,2024,10,October,Q4,67334878.62,44168802.01,23166076.61,34.4,962,69994.68
ING00071,E03,Neoris,Consultoría Regional,2024,11,November,Q4,57984881.7,36385890.78,21598990.92,37.25,948,61165.49
ING00072,E03,Neoris,Consultoría Regional,2024,12,December,Q4,69171513.31,49515483.39,19656029.92,28.42,948,72965.73
ING00073,E04,Infosys Monterrey,Outsourcing Global,2023,1,January,Q1,40197213.6,25228838.75,14968374.85,37.24,800,50246.52
ING00074,E04,Infosys Monterrey,Outsourcing Global,2023,2,February,Q1,38418992.48,22417007.2,16001985.27,41.65,850,45198.81
ING00075,E04,Infosys Monterrey,Outsourcing Global,2023,3,March,Q1,46500653.99,28590188.73,17910465.25,38.52,828,56160.21
ING00076,E04,Infosys Monterrey,Outsourcing Global,2023,4,April,Q2,44360234.82,30466929.27,13893305.55,31.32,815,54429.74
ING00077,E04,Infosys Monterrey,Outsourcing Global,2023,5,May,Q2,52703681.11,35601620.82,17102060.29,32.45,803,65633.48
ING00078,E04,Infosys Monterrey,Outsourcing Global,2023,6,June,Q2,54690200.06,38929282.17,15760917.9,28.82,829,65971.29
ING00079,E04,Infosys Monterrey,Outsourcing Global,2023,7,July,Q3,45062136.16,28048576.33,17013559.83,37.76,853,52827.83
ING00080,E04,Infosys Monterrey,Outsourcing Global,2023,8,August,Q3,51926823.03,35806649.25,16120173.78,31.04,813,63870.63
ING00081,E04,Infosys Monterrey,Outsourcing Global,2023,9,September,Q3,56919310.74,38111057.4,18808253.35,33.04,803,70883.33
ING00082,E04,Infosys Monterrey,Outsourcing Global,2023,10,October,Q4,49108301.61,32019409.61,17088892.01,34.8,866,56707.05
ING00083,E04,Infosys Monterrey,Outsourcing Global,2023,11,November,Q4,47216949.01,30032231.53,17184717.48,36.4,838,56344.81
ING00084,E04,Infosys Monterrey,Outsourcing Global,2023,12,December,Q4,52726755.98,35896654.35,16830101.63,31.92,842,62620.85
ING00085,E04,Infosys Monterrey,Outsourcing Global,2024,1,January,Q1,46218480.22,27238221.79,18980258.43,41.07,818,56501.81
ING00086,E04,Infosys Monterrey,Outsourcing Global,2024,2,February,Q1,46178446.03,31917608.61,14260837.42,30.88,851,54263.74
ING00087,E04,Infosys Monterrey,Outsourcing Global,2024,3,March,Q1,56409534.4,36188171.11,20221363.29,35.85,817,69044.72
ING00088,E04,Infosys Monterrey,Outsourcing Global,2024,4,April,Q2,56139396.88,36093295.06,20046101.82,35.71,812,69137.19
ING00089,E04,Infosys Monterrey,Outsourcing Global,2024,5,May,Q2,63411309.07,44187488.84,19223820.23,30.32,868,73054.5
ING00090,E04,Infosys Monterrey,Outsourcing Global,2024,6,June,Q2,57453914.4,34981535.32,22472379.07,39.11,809,71018.44
ING00091,E04,Infosys Monterrey,Outsourcing Global,2024,7,July,Q3,57185720.95,34728079.79,22457641.17,39.27,818,69909.19
ING00092,E04,Infosys Monterrey,Outsourcing Global,2024,8,August,Q3,59758945.47,42109721.7,17649223.77,29.53,858,69649.12
ING00093,E04,Infosys Monterrey,Outsourcing Global,2024,9,September,Q3,61558124.37,38778258.98,22779865.38,37.01,825,74615.91
ING00094,E04,Infosys Monterrey,Outsourcing Global,2024,10,October,Q4,55549074.16,35054620.46,20494453.7,36.89,814,68242.11
ING00095,E04,Infosys Monterrey,Outsourcing Global,2024,11,November,Q4,51123406.7,35025585.19,16097821.51,31.49,860,59445.82
ING00096,E04,Infosys Monterrey,Outsourcing Global,2024,12,December,Q4,61897412.08,39453449.59,22443962.49,36.26,810,76416.56
ING00097,E05,Globant Monterrey,Software Factory,2023,1,January,Q1,34933498.91,24232658.88,10700840.02,30.63,718,48653.9
ING00098,E05,Globant Monterrey,Software Factory,2023,2,February,Q1,37448541.0,25563636.74,11884904.26,31.74,663,56483.47
ING00099,E05,Globant Monterrey,Software Factory,2023,3,March,Q1,40702336.01,25964521.69,14737814.32,36.21,728,55909.8
ING00100,E05,Globant Monterrey,Software Factory,2023,4,April,Q2,39728263.02,25921968.1,13806294.92,34.75,729,54496.93
ING00101,E05,Globant Monterrey,Software Factory,2023,5,May,Q2,47326190.79,33865716.39,13460474.4,28.44,680,69597.34
ING00102,E05,Globant Monterrey,Software Factory,2023,6,June,Q2,44465689.81,30390171.77,14075518.03,31.65,706,62982.56
ING00103,E05,Globant Monterrey,Software Factory,2023,7,July,Q3,41256092.72,24236201.73,17019890.98,41.25,672,61393.0
ING00104,E05,Globant Monterrey,Software Factory,2023,8,August,Q3,43488025.78,27903668.73,15584357.05,35.84,716,60737.47
ING00105,E05,Globant Monterrey,Software Factory,2023,9,September,Q3,47630535.73,32553335.38,15077200.35,31.65,674,70668.45
ING00106,E05,Globant Monterrey,Software Factory,2023,10,October,Q4,47960030.45,28044339.55,19915690.91,41.53,668,71796.45
ING00107,E05,Globant Monterrey,Software Factory,2023,11,November,Q4,41177985.0,24203491.26,16974493.74,41.22,668,61643.69
ING00108,E05,Globant Monterrey,Software Factory,2023,12,December,Q4,44824742.2,30316751.5,14507990.7,32.37,695,64496.03
ING00109,E05,Globant Monterrey,Software Factory,2024,1,January,Q1,41069666.17,24246218.52,16823447.65,40.96,666,61666.17
ING00110,E05,Globant Monterrey,Software Factory,2024,2,February,Q1,45630278.66,32588944.0,13041334.66,28.58,704,64815.74
ING00111,E05,Globant Monterrey,Software Factory,2024,3,March,Q1,49300928.25,31495676.32,17805251.93,36.12,699,70530.66
ING00112,E05,Globant Monterrey,Software Factory,2024,4,April,Q2,49752429.77,29300367.59,20452062.18,41.11,678,73381.16
ING00113,E05,Globant Monterrey,Software Factory,2024,5,May,Q2,57648119.87,40906723.92,16741395.95,29.04,695,82946.94
ING00114,E05,Globant Monterrey,Software Factory,2024,6,June,Q2,57175828.52,37904904.51,19270924.01,33.7,674,84830.61
ING00115,E05,Globant Monterrey,Software Factory,2024,7,July,Q3,45037583.32,30792491.35,14245091.96,31.63,720,62552.2
ING00116,E05,Globant Monterrey,Software Factory,2024,8,August,Q3,54117264.24,38593376.95,15523887.3,28.69,683,79234.65
ING00117,E05,Globant Monterrey,Software Factory,2024,9,September,Q3,52681029.42,35956646.39,16724383.03,31.75,683,77131.81
ING00118,E05,Globant Monterrey,Software Factory,2024,10,October,Q4,54874076.77,34731846.56,20142230.21,36.71,717,76532.88
ING00119,E05,Globant Monterrey,Software Factory,2024,11,November,Q4,50977999.66,30383113.47,20594886.19,40.4,721,70704.58
ING00120,E05,Globant Monterrey,Software Factory,2024,12,December,Q4,55874538.24,39935113.82,15939424.42,28.53,728,76750.74
ING00121,E06,BairesDev,Software Factory,2023,1,January,Q1,23621520.3,13981727.98,9639792.32,40.81,548,43104.96
ING00122,E06,BairesDev,Software Factory,2023,2,February,Q1,25890762.96,16731642.09,9159120.87,35.38,509,50865.94
ING00123,E06,BairesDev,Software Factory,2023,3,March,Q1,27488752.92,18125051.84,9363701.08,34.06,535,51380.85
ING00124,E06,BairesDev,Software Factory,2023,4,April,Q2,25802623.01,16002636.11,9799986.9,37.98,506,50993.33
ING00125,E06,BairesDev,Software Factory,2023,5,May,Q2,28776926.49,20644305.09,8132621.4,28.26,516,55769.24
ING00126,E06,BairesDev,Software Factory,2023,6,June,Q2,29682129.81,20981742.51,8700387.3,29.31,533,55688.8
ING00127,E06,BairesDev,Software Factory,2023,7,July,Q3,28259573.72,18018653.79,10240919.92,36.24,532,53119.5
ING00128,E06,BairesDev,Software Factory,2023,8,August,Q3,30786537.61,21774722.52,9011815.09,29.27,550,55975.52
ING00129,E06,BairesDev,Software Factory,2023,9,September,Q3,31616142.55,19617125.65,11999016.89,37.95,504,62730.44
ING00130,E06,BairesDev,Software Factory,2023,10,October,Q4,31308561.2,21988744.29,9319816.91,29.77,504,62120.16
ING00131,E06,BairesDev,Software Factory,2023,11,November,Q4,28829982.56,18667072.73,10162909.83,35.25,542,53191.85
ING00132,E06,BairesDev,Software Factory,2023,12,December,Q4,32989011.76,19680804.08,13308207.68,40.34,539,61204.1
ING00133,E06,BairesDev,Software Factory,2024,1,January,Q1,29060181.67,19443950.79,9616230.88,33.09,546,53223.78
ING00134,E06,BairesDev,Software Factory,2024,2,February,Q1,29248488.75,17021756.35,12226732.4,41.8,501,58380.22
ING00135,E06,BairesDev,Software Factory,2024,3,March,Q1,34432233.09,23742271.49,10689961.6,31.05,503,68453.74
ING00136,E06,BairesDev,Software Factory,2024,4,April,Q2,35052170.35,22092401.13,12959769.22,36.97,553,63385.48
ING00137,E06,BairesDev,Software Factory,2024,5,May,Q2,37925998.38,23527398.47,14398599.91,37.96,550,68956.36
ING00138,E06,BairesDev,Software Factory,2024,6,June,Q2,39549980.96,25829776.68,13720204.28,34.69,523,75621.38
ING00139,E06,BairesDev,Software Factory,2024,7,July,Q3,34251045.77,22780972.84,11470072.93,33.49,509,67290.86
ING00140,E06,BairesDev,Software Factory,2024,8,August,Q3,39338481.48,25818005.67,13520475.81,34.37,536,73392.69
ING00141,E06,BairesDev,Software Factory,2024,9,September,Q3,37477202.32,25728640.25,11748562.07,31.35,551,68016.7
ING00142,E06,BairesDev,Software Factory,2024,10,October,Q4,40881710.29,28014115.08,12867595.21,31.48,534,76557.51
ING00143,E06,BairesDev,Software Factory,2024,11,November,Q4,35994059.02,25610363.16,10383695.86,28.85,523,68822.29
ING00144,E06,BairesDev,Software Factory,2024,12,December,Q4,39379278.93,28328420.31,11050858.62,28.06,558,70572.18
ING00145,E07,Hexaware Technologies,Outsourcing Global,2023,1,January,Q1,26787955.2,18757379.62,8030575.58,29.98,431,62153.03
ING00146,E07,Hexaware Technologies,Outsourcing Global,2023,2,February,Q1,26392673.6,16129067.29,10263606.31,38.89,454,58133.64
ING00147,E07,Hexaware Technologies,Outsourcing Global,2023,3,March,Q1,33391095.62,22373552.17,11017543.45,33.0,441,75716.77
ING00148,E07,Hexaware Technologies,Outsourcing Global,2023,4,April,Q2,31800045.79,21534540.16,10265505.62,32.28,454,70044.15
ING00149,E07,Hexaware Technologies,Outsourcing Global,2023,5,May,Q2,38005919.17,25463781.15,12542138.02,33.0,441,86181.22
ING00150,E07,Hexaware Technologies,Outsourcing Global,2023,6,June,Q2,34417170.05,24082934.54,10334235.5,30.03,451,76313.02
ING00151,E07,Hexaware Technologies,Outsourcing Global,2023,7,July,Q3,33861629.21,23629810.44,10231818.77,30.22,437,77486.57
ING00152,E07,Hexaware Technologies,Outsourcing Global,2023,8,August,Q3,36544417.67,24302964.36,12241453.31,33.5,437,83625.67
ING00153,E07,Hexaware Technologies,Outsourcing Global,2023,9,September,Q3,35101861.97,23821094.57,11280767.41,32.14,426,82398.74
ING00154,E07,Hexaware Technologies,Outsourcing Global,2023,10,October,Q4,36220127.7,24132813.22,12087314.48,33.37,487,74373.98
ING00155,E07,Hexaware Technologies,Outsourcing Global,2023,11,November,Q4,32709668.63,23027288.21,9682380.42,29.6,481,68003.47
ING00156,E07,Hexaware Technologies,Outsourcing Global,2023,12,December,Q4,37320221.21,24516241.14,12803980.07,34.31,454,82203.13
ING00157,E07,Hexaware Technologies,Outsourcing Global,2024,1,January,Q1,33275466.28,19490621.43,13784844.85,41.43,425,78295.21
ING00158,E07,Hexaware Technologies,Outsourcing Global,2024,2,February,Q1,28971458.15,18462257.0,10509201.15,36.27,422,68652.74
ING00159,E07,Hexaware Technologies,Outsourcing Global,2024,3,March,Q1,37471047.78,22673173.56,14797874.21,39.49,429,87345.1
ING00160,E07,Hexaware Technologies,Outsourcing Global,2024,4,April,Q2,37519084.79,23270820.99,14248263.81,37.98,466,80513.06
ING00161,E07,Hexaware Technologies,Outsourcing Global,2024,5,May,Q2,37422530.37,25300203.19,12122327.18,32.39,464,80652.01
ING00162,E07,Hexaware Technologies,Outsourcing Global,2024,6,June,Q2,40343842.3,25101915.25,15241927.05,37.78,451,89454.2
ING00163,E07,Hexaware Technologies,Outsourcing Global,2024,7,July,Q3,36861565.93,22197510.17,14664055.76,39.78,461,79960.01
ING00164,E07,Hexaware Technologies,Outsourcing Global,2024,8,August,Q3,42177175.75,24623425.77,17553749.98,41.62,472,89358.42
ING00165,E07,Hexaware Technologies,Outsourcing Global,2024,9,September,Q3,37336024.67,26511455.61,10824569.06,28.99,468,79777.83
ING00166,E07,Hexaware Technologies,Outsourcing Global,2024,10,October,Q4,40564616.94,28502709.07,12061907.87,29.74,428,94777.14
ING00167,E07,Hexaware Technologies,Outsourcing Global,2024,11,November,Q4,37507585.28,26800454.21,10707131.06,28.55,422,88880.53
ING00168,E07,Hexaware Technologies,Outsourcing Global,2024,12,December,Q4,37331110.2,24060394.88,13270715.31,35.55,434,86016.38
ING00169,E08,AZKA IT Consulting,Consultoría Local,2023,1,January,Q1,13194623.77,8757045.56,4437578.2,33.63,365,36149.65
ING00170,E08,AZKA IT Consulting,Consultoría Local,2023,2,February,Q1,12933489.18,8668857.44,4264631.74,32.97,367,35241.11
ING00171,E08,AZKA IT Consulting,Consultoría Local,2023,3,March,Q1,13028259.21,8190584.0,4837675.21,37.13,323,40335.17
ING00172,E08,AZKA IT Consulting,Consultoría Local,2023,4,April,Q2,14769712.12,10077324.1,4692388.01,31.77,338,43697.37
ING00173,E08,AZKA IT Consulting,Consultoría Local,2023,5,May,Q2,16571666.22,11660530.18,4911136.05,29.64,347,47756.96
ING00174,E08,AZKA IT Consulting,Consultoría Local,2023,6,June,Q2,16222284.09,10544376.05,5677908.04,35.0,327,49609.43
ING00175,E08,AZKA IT Consulting,Consultoría Local,2023,7,July,Q3,13782096.33,9434069.27,4348027.06,31.55,339,40655.15
ING00176,E08,AZKA IT Consulting,Consultoría Local,2023,8,August,Q3,15255209.95,9242460.41,6012749.54,39.41,360,42375.58
ING00177,E08,AZKA IT Consulting,Consultoría Local,2023,9,September,Q3,15864829.36,9240635.56,6624193.79,41.75,369,42994.12
ING00178,E08,AZKA IT Consulting,Consultoría Local,2023,10,October,Q4,15603301.78,9786547.18,5816754.59,37.28,348,44837.07
ING00179,E08,AZKA IT Consulting,Consultoría Local,2023,11,November,Q4,13769891.86,8338744.9,5431146.96,39.44,306,44999.65
ING00180,E08,AZKA IT Consulting,Consultoría Local,2023,12,December,Q4,15688938.59,9105300.49,6583638.09,41.96,322,48723.41
ING00181,E08,AZKA IT Consulting,Consultoría Local,2024,1,January,Q1,16364369.23,9649055.28,6715313.96,41.04,351,46622.13
ING00182,E08,AZKA IT Consulting,Consultoría Local,2024,2,February,Q1,15192592.03,9880865.96,5311726.07,34.96,320,47476.85
ING00183,E08,AZKA IT Consulting,Consultoría Local,2024,3,March,Q1,18292559.6,11935173.52,6357386.08,34.75,339,53960.35
ING00184,E08,AZKA IT Consulting,Consultoría Local,2024,4,April,Q2,17072195.87,12219459.21,4852736.66,28.42,336,50810.11
ING00185,E08,AZKA IT Consulting,Consultoría Local,2024,5,May,Q2,18838845.39,11048289.39,7790556.0,41.35,362,52041.01
ING00186,E08,AZKA IT Consulting,Consultoría Local,2024,6,June,Q2,19630066.92,13500582.64,6129484.28,31.22,318,61729.77
ING00187,E08,AZKA IT Consulting,Consultoría Local,2024,7,July,Q3,19073498.09,11069341.49,8004156.61,41.96,351,54340.45
ING00188,E08,AZKA IT Consulting,Consultoría Local,2024,8,August,Q3,21099268.21,14803866.18,6295402.03,29.84,339,62239.73
ING00189,E08,AZKA IT Consulting,Consultoría Local,2024,9,September,Q3,19289535.86,12394593.12,6894942.73,35.74,344,56074.23
ING00190,E08,AZKA IT Consulting,Consultoría Local,2024,10,October,Q4,18398066.76,12234586.23,6163480.53,33.5,346,53173.6
ING00191,E08,AZKA IT Consulting,Consultoría Local,2024,11,November,Q4,18785614.27,11544524.34,7241089.92,38.55,313,60017.94
ING00192,E08,AZKA IT Consulting,Consultoría Local,2024,12,December,Q4,20932338.43,12386232.22,8546106.21,40.83,310,67523.67
ING00193,E09,Deintec,Consultoría Local,2023,1,January,Q1,12606581.44,8622198.13,3984383.32,31.61,327,38552.24
ING00194,E09,Deintec,Consultoría Local,2023,2,February,Q1,13951046.3,8813639.34,5137406.96,36.82,316,44148.88
ING00195,E09,Deintec,Consultoría Local,2023,3,March,Q1,16543928.85,10786998.57,5756930.28,34.8,274,60379.3
ING00196,E09,Deintec,Consultoría Local,2023,4,April,Q2,15397678.78,9833683.35,5563995.42,36.14,271,56818.0
ING00197,E09,Deintec,Consultoría Local,2023,5,May,Q2,18101567.86,12019711.32,6081856.55,33.6,272,66549.88
ING00198,E09,Deintec,Consultoría Local,2023,6,June,Q2,18615435.49,11503576.27,7111859.21,38.2,286,65088.94
ING00199,E09,Deintec,Consultoría Local,2023,7,July,Q3,15854662.18,11017474.21,4837187.97,30.51,326,48633.93
ING00200,E09,Deintec,Consultoría Local,2023,8,August,Q3,17665123.69,10732104.57,6933019.11,39.25,317,55725.94
ING00201,E09,Deintec,Consultoría Local,2023,9,September,Q3,18234775.69,12855744.34,5379031.35,29.5,264,69071.12
ING00202,E09,Deintec,Consultoría Local,2023,10,October,Q4,17920448.74,12637250.85,5283197.89,29.48,278,64462.05
ING00203,E09,Deintec,Consultoría Local,2023,11,November,Q4,16176700.36,10575738.53,5600961.83,34.62,301,53743.19
ING00204,E09,Deintec,Consultoría Local,2023,12,December,Q4,17115935.71,10659397.58,6456538.13,37.72,305,56117.82
ING00205,E09,Deintec,Consultoría Local,2024,1,January,Q1,17726884.57,11748321.44,5978563.13,33.73,271,65412.86
ING00206,E09,Deintec,Consultoría Local,2024,2,February,Q1,16418129.22,9626451.38,6791677.84,41.37,326,50362.36
ING00207,E09,Deintec,Consultoría Local,2024,3,March,Q1,20086975.91,12498035.85,7588940.06,37.78,297,67632.92
ING00208,E09,Deintec,Consultoría Local,2024,4,April,Q2,19405673.0,12739527.07,6666145.93,34.35,293,66230.97
ING00209,E09,Deintec,Consultoría Local,2024,5,May,Q2,22370031.28,13281776.27,9088255.01,40.63,314,71242.14
ING00210,E09,Deintec,Consultoría Local,2024,6,June,Q2,22082194.84,13059032.81,9023162.02,40.86,294,75109.51
ING00211,E09,Deintec,Consultoría Local,2024,7,July,Q3,21059286.76,13203817.22,7855469.54,37.3,282,74678.32
ING00212,E09,Deintec,Consultoría Local,2024,8,August,Q3,23075347.68,13604475.14,9470872.54,41.04,272,84835.84
