contratacion_id,empresa_id,empresa,anio,mes,mes_nombre,trimestre,rol,candidatos_recibidos,entrevistados,ofertas_enviadas,contratados,tasa_conversion_pct,tiempo_contratacion_dias,fuente_principal
CNT00072,E01,Accenture Monterrey,2023,8,August,Q3,Software Developer,374,133,44,30,8.02,20,OCC Mundial
CNT00073,E01,Accenture Monterrey,2023,8,August,Q3,Backend Developer,351,131,30,25,7.12,58,LinkedIn
CNT00074,E01,Accenture Monterrey,2023,8,August,Q3,Frontend Developer,140,38,11,6,4.29,44,Referidos
CNT00075,E01,Accenture Monterrey,2023,8,August,Q3,Full Stack Developer,418,156,51,39,9.33,29,Glassdoor
CNT00076,E01,Accenture Monterrey,2023,8,August,Q3,DevOps Engineer,108,32,9,7,6.48,40,LinkedIn
CNT00077,E01,Accenture Monterrey,2023,8,August,Q3,Cloud Architect,100,27,5,3,3.0,60,Universidad UANL/ITESM
CNT00078,E01,Accenture Monterrey,2023,8,August,Q3,Scrum Master,165,47,17,11,6.67,46,OCC Mundial
CNT00079,E01,Accenture Monterrey,2023,8,August,Q3,Project Manager,135,42,9,7,5.19,25,Referidos
CNT00080,E01,Accenture Monterrey,2023,8,August,Q3,Cybersecurity Analyst,104,44,15,13,12.5,51,LinkedIn
CNT00081,E01,Accenture Monterrey,2023,9,September,Q3,Data Analyst,405,180,62,43,10.62,35,Glassdoor
CNT00082,E01,Accenture Monterrey,2023,9,September,Q3,Software Developer,304,108,42,32,10.53,58,OCC Mundial
CNT00083,E01,Accenture Monterrey,2023,9,September,Q3,Backend Developer,368,125,41,34,9.24,19,OCC Mundial
CNT00084,E01,Accenture Monterrey,2023,9,September,Q3,Frontend Developer,196,61,22,14,7.14,19,LinkedIn
CNT00085,E01,Accenture Monterrey,2023,9,September,Q3,Full Stack Developer,231,63,16,12,5.19,27,OCC Mundial
CNT00086,E01,Accenture Monterrey,2023,9,September,Q3,DevOps Engineer,143,57,18,15,10.49,28,Referidos
CNT00087,E01,Accenture Monterrey,2023,9,September,Q3,Cloud Architect,144,47,12,7,4.86,61,LinkedIn
CNT00088,E01,Accenture Monterrey,2023,9,September,Q3,Scrum Master,187,66,14,9,4.81,61,LinkedIn
CNT00089,E01,Accenture Monterrey,2023,9,September,Q3,Project Manager,195,86,26,15,7.69,18,Referidos
CNT00090,E01,Accenture Monterrey,2023,9,September,Q3,Cybersecurity Analyst,96,26,7,5,5.21,26,Referidos
CNT00091,E01,Accenture Monterrey,2023,10,October,Q4,Data Analyst,486,184,51,30,6.17,60,OCC Mundial
CNT00092,E01,Accenture Monterrey,2023,10,October,Q4,Software Developer,518,186,48,31,5.98,28,OCC Mundial
CNT00093,E01,Accenture Monterrey,2023,10,October,Q4,Backend Developer,252,103,29,25,9.92,57,Glassdoor
CNT00094,E01,Accenture Monterrey,2023,10,October,Q4,Frontend Developer,216,69,26,17,7.87,21,Csoftmty Jobs
CNT00095,E01,Accenture Monterrey,2023,10,October,Q4,Full Stack Developer,253,64,22,17,6.72,35,LinkedIn
CNT00096,E01,Accenture Monterrey,2023,10,October,Q4,DevOps Engineer,112,39,8,6,5.36,41,LinkedIn
CNT00097,E01,Accenture Monterrey,2023,10,October,Q4,Cloud Architect,221,81,24,16,7.24,41,Glassdoor
CNT00098,E01,Accenture Monterrey,2023,10,October,Q4,Scrum Master,81,23,6,4,4.94,51,OCC Mundial
CNT00099,E01,Accenture Monterrey,2023,10,October,Q4,Project Manager,66,21,5,3,4.55,44,LinkedIn
CNT00100,E01,Accenture Monterrey,2023,10,October,Q4,Cybersecurity Analyst,160,70,16,12,7.5,48,Glassdoor
CNT00101,E01,Accenture Monterrey,2023,11,November,Q4,Data Analyst,330,144,36,31,9.39,44,Universidad UANL/ITESM
CNT00102,E01,Accenture Monterrey,2023,11,November,Q4,Software Developer,768,302,80,53,6.9,26,OCC Mundial
CNT00103,E01,Accenture Monterrey,2023,11,November,Q4,Backend Developer,224,70,21,16,7.14,21,LinkedIn
CNT00104,E01,Accenture Monterrey,2023,11,November,Q4,Frontend Developer,120,33,12,10,8.33,19,OCC Mundial
CNT00105,E01,Accenture Monterrey,2023,11,November,Q4,Full Stack Developer,187,68,25,15,8.02,58,LinkedIn
CNT00106,E01,Accenture Monterrey,2023,11,November,Q4,DevOps Engineer,272,68,26,16,5.88,21,OCC Mundial
CNT00107,E01,Accenture Monterrey,2023,11,November,Q4,Cloud Architect,112,50,11,8,7.14,54,LinkedIn
CNT00108,E01,Accenture Monterrey,2023,11,November,Q4,Scrum Master,70,26,10,7,10.0,56,Glassdoor
CNT00109,E01,Accenture Monterrey,2023,11,November,Q4,Project Manager,132,51,16,12,9.09,59,Csoftmty Jobs
CNT00110,E01,Accenture Monterrey,2023,11,November,Q4,Cybersecurity Analyst,180,74,20,17,9.44,52,Referidos
CNT00111,E01,Accenture Monterrey,2023,12,December,Q4,Data Analyst,243,99,34,27,11.11,34,LinkedIn
CNT00112,E01,Accenture Monterrey,2023,12,December,Q4,Software Developer,612,216,60,40,6.54,51,Universidad UANL/ITESM
CNT00113,E01,Accenture Monterrey,2023,12,December,Q4,Backend Developer,152,57,15,10,6.58,34,LinkedIn
CNT00114,E01,Accenture Monterrey,2023,12,December,Q4,Frontend Developer,255,111,32,23,9.02,28,LinkedIn
CNT00115,E01,Accenture Monterrey,2023,12,December,Q4,Full Stack Developer,220,55,12,8,3.64,40,Referidos
CNT00116,E01,Accenture Monterrey,2023,12,December,Q4,DevOps Engineer,121,31,11,9,7.44,44,LinkedIn
CNT00117,E01,Accenture Monterrey,2023,12,December,Q4,Cloud Architect,224,79,28,21,9.38,61,LinkedIn
CNT00118,E01,Accenture Monterrey,2023,12,December,Q4,Scrum Master,99,43,10,6,6.06,28,LinkedIn
CNT00119,E01,Accenture Monterrey,2023,12,December,Q4,Project Manager,195,56,19,14,7.18,49,LinkedIn
CNT00120,E01,Accenture Monterrey,2023,12,December,Q4,Cybersecurity Analyst,117,48,12,9,7.69,63,Glassdoor
CNT00121,E01,Accenture Monterrey,2024,1,January,Q1,Data Analyst,225,86,24,17,7.56,54,LinkedIn
CNT00122,E01,Accenture Monterrey,2024,1,January,Q1,Software Developer,416,177,44,28,6.73,63,LinkedIn
CNT00123,E01,Accenture Monterrey,2024,1,January,Q1,Backend Developer,240,73,18,12,5.0,44,Referidos
CNT00124,E01,Accenture Monterrey,2024,1,January,Q1,Frontend Developer,150,62,15,11,7.33,57,OCC Mundial
CNT00125,E01,Accenture Monterrey,2024,1,January,Q1,Full Stack Developer,304,127,32,19,6.25,24,Csoftmty Jobs
CNT00126,E01,Accenture Monterrey,2024,1,January,Q1,DevOps Engineer,238,59,16,11,4.62,28,Csoftmty Jobs
CNT00127,E01,Accenture Monterrey,2024,1,January,Q1,Cloud Architect,169,49,11,7,4.14,33,OCC Mundial
CNT00128,E01,Accenture Monterrey,2024,1,January,Q1,Scrum Master,306,81,17,14,4.58,51,Universidad UANL/ITESM
CNT00129,E01,Accenture Monterrey,2024,1,January,Q1,Project Manager,120,45,14,11,9.17,18,Referidos
CNT00130,E01,Accenture Monterrey,2024,1,January,Q1,Cybersecurity Analyst,165,64,15,11,6.67,21,Referidos
CNT00131,E01,Accenture Monterrey,2024,2,February,Q1,Data Analyst,266,114,40,26,9.77,25,Glassdoor
CNT00132,E01,Accenture Monterrey,2024,2,February,Q1,Software Developer,612,203,64,48,7.84,48,LinkedIn
CNT00133,E01,Accenture Monterrey,2024,2,February,Q1,Backend Developer,184,47,14,9,4.89,45,Referidos
CNT00134,E01,Accenture Monterrey,2024,2,February,Q1,Frontend Developer,320,136,46,33,10.31,43,Glassdoor
CNT00135,E01,Accenture Monterrey,2024,2,February,Q1,Full Stack Developer,323,87,30,25,7.74,49,Referidos
CNT00136,E01,Accenture Monterrey,2024,2,February,Q1,DevOps Engineer,209,80,17,10,4.78,53,Glassdoor
CNT00137,E01,Accenture Monterrey,2024,2,February,Q1,Cloud Architect,80,20,4,2,2.5,45,LinkedIn
CNT00138,E01,Accenture Monterrey,2024,2,February,Q1,Scrum Master,238,79,24,16,6.72,62,OCC Mundial
CNT00139,E01,Accenture Monterrey,2024,2,February,Q1,Project Manager,168,43,12,8,4.76,30,Glassdoor
CNT00140,E01,Accenture Monterrey,2024,2,February,Q1,Cybersecurity Analyst,130,39,10,8,6.15,26,OCC Mundial
CNT00141,E01,Accenture Monterrey,2024,3,March,Q1,Data Analyst,336,118,37,22,6.55,62,Referidos
CNT00142,E01,Accenture Monterrey,2024,3,March,Q1,Software Developer,432,186,47,36,8.33,57,Glassdoor
CNT00143,E01,Accenture Monterrey,2024,3,March,Q1,Backend Developer,378,156,51,41,10.85,25,Referidos
CNT00144,E01,Accenture Monterrey,2024,3,March,Q1,Frontend Developer,132,46,17,10,7.58,53,OCC Mundial
CNT00145,E01,Accenture Monterrey,2024,3,March,Q1,Full Stack Developer,210,91,21,18,8.57,47,Referidos
CNT00146,E01,Accenture Monterrey,2024,3,March,Q1,DevOps Engineer,168,47,15,12,7.14,39,LinkedIn
CNT00147,E01,Accenture Monterrey,2024,3,March,Q1,Cloud Architect,40,13,3,2,5.0,21,Referidos
CNT00148,E01,Accenture Monterrey,2024,3,March,Q1,Scrum Master,120,46,17,11,9.17,40,OCC Mundial
CNT00149,E01,Accenture Monterrey,2024,3,March,Q1,Project Manager,90,37,10,8,8.89,59,LinkedIn
CNT00150,E01,Accenture Monterrey,2024,3,March,Q1,Cybersecurity Analyst,196,71,25,16,8.16,23,Referidos
CNT00151,E01,Accenture Monterrey,2024,4,April,Q2,Data Analyst,425,122,44,27,6.35,23,Universidad UANL/ITESM
CNT00152,E01,Accenture Monterrey,2024,4,April,Q2,Software Developer,405,104,41,30,7.41,22,OCC Mundial
CNT00153,E01,Accenture Monterrey,2024,4,April,Q2,Backend Developer,400,141,45,27,6.75,31,OCC Mundial
CNT00154,E01,Accenture Monterrey,2024,4,April,Q2,Frontend Developer,238,63,16,9,3.78,60,Glassdoor
CNT00155,E01,Accenture Monterrey,2024,4,April,Q2,Full Stack Developer,300,117,40,35,11.67,50,OCC Mundial
CNT00156,E01,Accenture Monterrey,2024,4,April,Q2,DevOps Engineer,315,138,50,44,13.97,47,Glassdoor
CNT00157,E01,Accenture Monterrey,2024,4,April,Q2,Cloud Architect,65,26,7,6,9.23,32,Glassdoor
CNT00158,E01,Accenture Monterrey,2024,4,April,Q2,Scrum Master,153,39,13,9,5.88,47,LinkedIn
CNT00159,E01,Accenture Monterrey,2024,4,April,Q2,Project Manager,224,94,27,21,9.38,41,Csoftmty Jobs
CNT00160,E01,Accenture Monterrey,2024,4,April,Q2,Cybersecurity Analyst,210,89,26,21,10.0,34,OCC Mundial
CNT00161,E01,Accenture Monterrey,2024,5,May,Q2,Data Analyst,442,196,48,28,6.33,26,OCC Mundial
CNT00162,E01,Accenture Monterrey,2024,5,May,Q2,Software Developer,836,336,117,77,9.21,46,LinkedIn
CNT00163,E01,Accenture Monterrey,2024,5,May,Q2,Backend Developer,256,70,18,13,5.08,43,OCC Mundial
CNT00164,E01,Accenture Monterrey,2024,5,May,Q2,Frontend Developer,255,106,29,23,9.02,60,Referidos
CNT00165,E01,Accenture Monterrey,2024,5,May,Q2,Full Stack Developer,170,47,11,7,4.12,40,LinkedIn
CNT00166,E01,Accenture Monterrey,2024,5,May,Q2,DevOps Engineer,54,15,3,2,3.7,46,LinkedIn
CNT00167,E01,Accenture Monterrey,2024,5,May,Q2,Cloud Architect,90,28,8,5,5.56,45,Referidos
CNT00168,E01,Accenture Monterrey,2024,5,May,Q2,Scrum Master,180,59,18,12,6.67,34,LinkedIn
CNT00169,E01,Accenture Monterrey,2024,5,May,Q2,Project Manager,135,47,10,6,4.44,51,LinkedIn
CNT00170,E01,Accenture Monterrey,2024,5,May,Q2,Cybersecurity Analyst,162,40,10,6,3.7,60,OCC Mundial
CNT00171,E01,Accenture Monterrey,2024,6,June,Q2,Data Analyst,448,113,24,16,3.57,40,Universidad UANL/ITESM
CNT00172,E01,Accenture Monterrey,2024,6,June,Q2,Software Developer,300,98,32,27,9.0,19,OCC Mundial
CNT00173,E01,Accenture Monterrey,2024,6,June,Q2,Backend Developer,198,64,14,10,5.05,33,OCC Mundial
CNT00174,E01,Accenture Monterrey,2024,6,June,Q2,Frontend Developer,289,82,18,14,4.84,20,Referidos
CNT00175,E01,Accenture Monterrey,2024,6,June,Q2,Full Stack Developer,288,103,39,27,9.38,20,OCC Mundial
CNT00176,E01,Accenture Monterrey,2024,6,June,Q2,DevOps Engineer,150,44,17,14,9.33,58,Universidad UANL/ITESM
CNT00177,E01,Accenture Monterrey,2024,6,June,Q2,Cloud Architect,40,14,5,3,7.5,41,LinkedIn
CNT00178,E01,Accenture Monterrey,2024,6,June,Q2,Scrum Master,132,38,8,7,5.3,21,OCC Mundial
CNT00179,E01,Accenture Monterrey,2024,6,June,Q2,Project Manager,104,40,14,12,11.54,47,Referidos
CNT00180,E01,Accenture Monterrey,2024,6,June,Q2,Cybersecurity Analyst,255,98,22,18,7.06,29,Csoftmty Jobs
CNT00181,E01,Accenture Monterrey,2024,7,July,Q3,Data Analyst,252,90,35,26,10.32,47,OCC Mundial
CNT00182,E01,Accenture Monterrey,2024,7,July,Q3,Software Developer,300,98,27,21,7.0,20,OCC Mundial
CNT00183,E01,Accenture Monterrey,2024,7,July,Q3,Backend Developer,136,60,21,13,9.56,26,OCC Mundial
CNT00184,E01,Accenture Monterrey,2024,7,July,Q3,Frontend Developer,152,58,15,13,8.55,19,Referidos
CNT00185,E01,Accenture Monterrey,2024,7,July,Q3,Full Stack Developer,350,145,43,29,8.29,61,Referidos
CNT00186,E01,Accenture Monterrey,2024,7,July,Q3,DevOps Engineer,108,39,9,6,5.56,18,Glassdoor
CNT00187,E01,Accenture Monterrey,2024,7,July,Q3,Cloud Architect,50,19,7,5,10.0,33,Glassdoor
CNT00188,E01,Accenture Monterrey,2024,7,July,Q3,Scrum Master,80,24,5,4,5.0,23,Csoftmty Jobs
CNT00189,E01,Accenture Monterrey,2024,7,July,Q3,Project Manager,95,24,5,3,3.16,46,Referidos
CNT00190,E01,Accenture Monterrey,2024,7,July,Q3,Cybersecurity Analyst,144,58,14,8,5.56,63,Referidos
CNT00191,E01,Accenture Monterrey,2024,8,August,Q3,Data Analyst,378,146,52,37,9.79,63,LinkedIn
CNT00192,E01,Accenture Monterrey,2024,8,August,Q3,Software Developer,770,258,96,75,9.74,64,Glassdoor
CNT00193,E01,Accenture Monterrey,2024,8,August,Q3,Backend Developer,338,89,29,17,5.03,48,LinkedIn
CNT00194,E01,Accenture Monterrey,2024,8,August,Q3,Frontend Developer,350,96,24,19,5.43,58,Glassdoor
CNT00195,E01,Accenture Monterrey,2024,8,August,Q3,Full Stack Developer,209,74,15,10,4.78,22,LinkedIn
CNT00196,E01,Accenture Monterrey,2024,8,August,Q3,DevOps Engineer,120,44,8,5,4.17,32,LinkedIn
CNT00197,E01,Accenture Monterrey,2024,8,August,Q3,Cloud Architect,209,83,17,10,4.78,22,OCC Mundial
CNT00198,E01,Accenture Monterrey,2024,8,August,Q3,Scrum Master,54,21,5,3,5.56,41,Universidad UANL/ITESM
CNT00199,E01,Accenture Monterrey,2024,8,August,Q3,Project Manager,143,54,17,11,7.69,55,Csoftmty Jobs
CNT00200,E01,Accenture Monterrey,2024,8,August,Q3,Cybersecurity Analyst,104,34,11,6,5.77,56,OCC Mundial
CNT00201,E01,Accenture Monterrey,2024,9,September,Q3,Data Analyst,300,90,33,21,7.0,49,Universidad UANL/ITESM
CNT00202,E01,Accenture Monterrey,2024,9,September,Q3,Software Developer,430,188,62,49,11.4,53,LinkedIn
CNT00203,E01,Accenture Monterrey,2024,9,September,Q3,Backend Developer,200,63,14,10,5.0,36,OCC Mundial
CNT00204,E01,Accenture Monterrey,2024,9,September,Q3,Frontend Developer,231,80,29,21,9.09,20,Csoftmty Jobs
CNT00205,E01,Accenture Monterrey,2024,9,September,Q3,Full Stack Developer,342,137,28,17,4.97,27,Referidos
CNT00206,E01,Accenture Monterrey,2024,9,September,Q3,DevOps Engineer,255,109,26,18,7.06,29,LinkedIn
CNT00207,E01,Accenture Monterrey,2024,9,September,Q3,Cloud Architect,54,21,7,4,7.41,18,Universidad UANL/ITESM
CNT00208,E01,Accenture Monterrey,2024,9,September,Q3,Scrum Master,196,69,24,21,10.71,50,Referidos
CNT00209,E01,Accenture Monterrey,2024,9,September,Q3,Project Manager,100,37,11,9,9.0,27,Glassdoor
CNT00210,E01,Accenture Monterrey,2024,9,September,Q3,Cybersecurity Analyst,304,128,39,32,10.53,20,LinkedIn
CNT00211,E01,Accenture Monterrey,2024,10,October,Q4,Data Analyst,264,95,26,19,7.2,54,Referidos
CNT00212,E01,Accenture Monterrey,2024,10,October,Q4,Software Developer,846,299,66,42,4.96,28,Referidos
CNT00213,E01,Accenture Monterrey,2024,10,October,Q4,Backend Developer,312,95,35,28,8.97,47,OCC Mundial
CNT00214,E01,Accenture Monterrey,2024,10,October,Q4,Frontend Developer,156,68,21,14,8.97,39,OCC Mundial
CNT00215,E01,Accenture Monterrey,2024,10,October,Q4,Full Stack Developer,494,134,30,25,5.06,60,Glassdoor
CNT00216,E01,Accenture Monterrey,2024,10,October,Q4,DevOps Engineer,112,43,12,8,7.14,64,LinkedIn
CNT00217,E01,Accenture Monterrey,2024,10,October,Q4,Cloud Architect,165,46,17,10,6.06,53,OCC Mundial
CNT00218,E01,Accenture Monterrey,2024,10,October,Q4,Scrum Master,150,50,11,9,6.0,57,OCC Mundial
CNT00219,E01,Accenture Monterrey,2024,10,October,Q4,Project Manager,136,46,12,9,6.62,25,Referidos
CNT00220,E01,Accenture Monterrey,2024,10,October,Q4,Cybersecurity Analyst,180,70,21,15,8.33,25,Glassdoor
CNT00221,E01,Accenture Monterrey,2024,11,November,Q4,Data Analyst,242,73,28,19,7.85,21,Universidad UANL/ITESM
CNT00222,E01,Accenture Monterrey,2024,11,November,Q4,Software Developer,410,174,46,31,7.56,55,Universidad UANL/ITESM
CNT00223,E01,Accenture Monterrey,2024,11,November,Q4,Backend Developer,510,201,75,66,12.94,34,Universidad UANL/ITESM
CNT00224,E01,Accenture Monterrey,2024,11,November,Q4,Frontend Developer,154,57,13,8,5.19,29,LinkedIn
CNT00225,E01,Accenture Monterrey,2024,11,November,Q4,Full Stack Developer,285,82,21,15,5.26,27,Universidad UANL/ITESM
CNT00226,E01,Accenture Monterrey,2024,11,November,Q4,DevOps Engineer,204,55,12,10,4.9,53,OCC Mundial
CNT00227,E01,Accenture Monterrey,2024,11,November,Q4,Cloud Architect,88,23,7,5,5.68,53,Referidos
CNT00228,E01,Accenture Monterrey,2024,11,November,Q4,Scrum Master,84,30,8,4,4.76,18,Referidos
CNT00229,E01,Accenture Monterrey,2024,11,November,Q4,Project Manager,180,50,12,7,3.89,50,OCC Mundial
CNT00230,E01,Accenture Monterrey,2024,11,November,Q4,Cybersecurity Analyst,273,118,32,20,7.33,20,LinkedIn
CNT00231,E01,Accenture Monterrey,2024,12,December,Q4,Data Analyst,304,83,18,11,3.62,51,OCC Mundial
CNT00232,E01,Accenture Monterrey,2024,12,December,Q4,Software Developer,272,80,19,15,5.51,21,Referidos
