encuesta_id,empleado_id,empresa_id,empresa,rol,nivel,anio,satisfaccion_general,satisfaccion_salario,satisfaccion_ambiente,satisfaccion_crecimiento,satisfaccion_liderazgo,intencion_salida,razon_posible_salida
ENC000020,EMP06705,E08,AZKA IT Consulting,Project Manager,Mid,2024,4.5,4.3,4.5,4.2,4.2,Tal vez,Crecimiento profesional
ENC000021,EMP05912,E06,BairesDev,Software Developer,Junior,2023,3.7,3.4,3.6,4.2,3.2,No,Mejor salario
ENC000022,EMP05912,E06,BairesDev,Software Developer,Junior,2024,3.5,3.4,3.7,3.3,3.6,Sí,Mejor salario
ENC000023,EMP00316,E01,Accenture Monterrey,Project Manager,Mid,2023,4.8,4.8,4.9,4.2,4.9,No,Crecimiento profesional
ENC000024,EMP00316,E01,Accenture Monterrey,Project Manager,Mid,2024,4.6,5.0,4.7,4.6,4.6,Tal vez,Cambio de ciudad
ENC000025,EMP04343,E04,Infosys Monterrey,Project Manager,Mid,2023,3.6,3.4,3.7,3.2,3.5,Tal vez,Mejor salario
ENC000026,EMP04343,E04,Infosys Monterrey,Project Manager,Mid,2024,4.0,3.8,3.8,3.8,4.3,No,Mejor salario
ENC000027,EMP04782,E04,Infosys Monterrey,Full Stack Developer,Junior,2023,3.3,3.6,3.3,3.0,3.5,No,Crecimiento profesional
ENC000028,EMP04782,E04,Infosys Monterrey,Full Stack Developer,Junior,2024,3.8,3.4,4.2,4.1,3.7,No,Startup propia
ENC000029,EMP00555,E01,Accenture Monterrey,Full Stack Developer,Mid,2024,3.6,3.5,3.5,3.9,3.6,No,Mejor salario
ENC000030,EMP01079,E01,Accenture Monterrey,Scrum Master,Mid,2023,4.4,4.3,4.7,4.0,4.8,Sí,Crecimiento profesional
ENC000031,EMP01079,E01,Accenture Monterrey,Scrum Master,Mid,2024,4.2,4.4,4.2,3.9,4.1,No,Mejor salario
ENC000032,EMP04553,E04,Infosys Monterrey,Frontend Developer,Senior,2023,4.3,4.5,4.3,4.1,4.1,Tal vez,Crecimiento profesional
ENC000033,EMP00534,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2023,3.7,3.4,4.0,3.3,3.6,Tal vez,Startup propia
ENC000034,EMP04565,E04,Infosys Monterrey,Cybersecurity Analyst,Mid,2024,4.5,4.8,4.5,4.7,4.4,No,Mejor salario
ENC000035,EMP07287,E10,Axsis Tecnología,Software Developer,Junior,2023,4.5,4.3,4.8,3.9,4.4,No,Mejor salario
ENC000036,EMP07287,E10,Axsis Tecnología,Software Developer,Junior,2024,3.5,4.1,3.6,3.0,3.5,Tal vez,Mejor salario
ENC000037,EMP02267,E02,Tata Consultancy Services,Project Manager,Senior,2023,4.5,4.8,4.2,4.1,4.0,No,Mejor salario
ENC000038,EMP02267,E02,Tata Consultancy Services,Project Manager,Senior,2024,4.9,4.5,4.9,4.6,4.7,Sí,N/A
ENC000039,EMP06755,E08,AZKA IT Consulting,Cloud Architect,Mid,2023,4.3,4.0,4.6,4.2,4.4,Tal vez,Crecimiento profesional
ENC000040,EMP06755,E08,AZKA IT Consulting,Cloud Architect,Mid,2024,4.6,4.5,4.8,4.1,4.5,No,Mejor salario
ENC000041,EMP03018,E02,Tata Consultancy Services,Project Manager,Mid,2024,3.6,3.4,3.7,3.4,3.8,Tal vez,Crecimiento profesional
ENC000042,EMP00335,E01,Accenture Monterrey,Scrum Master,Mid,2023,4.1,4.1,4.5,4.1,4.2,No,Cambio de ciudad
ENC000043,EMP00335,E01,Accenture Monterrey,Scrum Master,Mid,2024,3.2,2.9,3.4,3.0,3.7,No,Cambio de ciudad
ENC000044,EMP06595,E08,AZKA IT Consulting,Cybersecurity Analyst,Senior,2023,3.6,3.3,3.8,3.5,3.5,Sí,Mejor salario
ENC000045,EMP06595,E08,AZKA IT Consulting,Cybersecurity Analyst,Senior,2024,4.6,4.8,4.9,4.5,4.7,Tal vez,Crecimiento profesional
ENC000046,EMP07337,E10,Axsis Tecnología,Backend Developer,Junior,2023,3.9,3.3,3.7,4.1,4.1,No,Mejor salario
ENC000047,EMP01282,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2023,3.9,3.9,4.1,3.2,3.9,No,Mejor salario
ENC000048,EMP01282,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2024,3.0,2.6,3.0,2.9,2.8,No,Mejor salario
ENC000049,EMP01173,E01,Accenture Monterrey,Data Analyst,Junior,2023,4.0,3.6,4.1,3.5,4.1,Sí,Mejor salario
ENC000050,EMP01173,E01,Accenture Monterrey,Data Analyst,Junior,2024,4.5,4.6,4.6,3.7,4.4,Tal vez,Trabajo remoto
ENC000051,EMP01722,E01,Accenture Monterrey,Backend Developer,Senior,2023,4.1,3.8,4.4,4.1,4.5,No,Cambio de ciudad
ENC000052,EMP01722,E01,Accenture Monterrey,Backend Developer,Senior,2024,3.9,3.7,4.2,3.9,4.2,Sí,Mejor salario
ENC000053,EMP00966,E01,Accenture Monterrey,Software Developer,Senior,2023,4.6,4.0,4.4,4.3,4.4,No,Crecimiento profesional
ENC000054,EMP06653,E08,AZKA IT Consulting,Cybersecurity Analyst,Junior,2023,4.2,4.2,4.1,4.3,4.1,No,Crecimiento profesional
ENC000055,EMP04746,E04,Infosys Monterrey,Scrum Master,Senior,2024,3.5,3.6,3.5,3.1,3.6,Tal vez,N/A
ENC000056,EMP02878,E02,Tata Consultancy Services,Software Developer,Senior,2023,4.0,4.1,4.0,4.4,4.1,No,Startup propia
ENC000057,EMP04246,E04,Infosys Monterrey,Full Stack Developer,Senior,2023,4.9,4.6,4.9,4.7,4.8,Tal vez,Crecimiento profesional
ENC000058,EMP04246,E04,Infosys Monterrey,Full Stack Developer,Senior,2024,4.5,4.3,4.6,4.6,4.4,No,Trabajo remoto
ENC000059,EMP05892,E06,BairesDev,Software Developer,Mid,2024,4.1,4.0,4.5,4.2,4.3,Sí,Mejor salario
ENC000060,EMP06660,E08,AZKA IT Consulting,Cloud Architect,Mid,2023,3.7,3.7,3.9,4.0,3.8,No,Trabajo remoto
ENC000061,EMP06660,E08,AZKA IT Consulting,Cloud Architect,Mid,2024,3.9,3.6,4.2,3.5,3.7,No,Crecimiento profesional
ENC000062,EMP06600,E08,AZKA IT Consulting,Data Analyst,Senior,2023,4.8,4.1,4.9,5.0,4.8,Tal vez,Mejor salario
ENC000063,EMP06830,E08,AZKA IT Consulting,Cloud Architect,Senior,2023,5.0,4.4,5.0,5.0,5.0,No,Crecimiento profesional
ENC000064,EMP06830,E08,AZKA IT Consulting,Cloud Architect,Senior,2024,4.5,5.0,4.3,4.2,4.4,Tal vez,Crecimiento profesional
ENC000065,EMP04889,E05,Globant Monterrey,Software Developer,Junior,2023,3.3,3.2,3.3,3.3,3.3,No,Trabajo remoto
ENC000066,EMP06083,E07,Hexaware Technologies,Backend Developer,Mid,2023,4.3,4.7,4.1,4.2,4.3,Tal vez,Mejor salario
ENC000067,EMP06083,E07,Hexaware Technologies,Backend Developer,Mid,2024,4.3,4.5,4.8,3.5,4.2,No,Trabajo remoto
ENC000068,EMP00541,E01,Accenture Monterrey,Full Stack Developer,Mid,2023,4.9,4.3,4.8,4.9,5.0,No,Mejor salario
ENC000069,EMP00541,E01,Accenture Monterrey,Full Stack Developer,Mid,2024,3.6,3.4,3.6,2.7,3.6,No,Mejor salario
ENC000070,EMP02834,E02,Tata Consultancy Services,Frontend Developer,Junior,2024,4.0,3.7,4.0,4.1,3.8,No,Crecimiento profesional
ENC000071,EMP06730,E08,AZKA IT Consulting,Full Stack Developer,Mid,2023,3.6,3.1,3.7,4.0,4.1,No,Mejor salario
ENC000072,EMP06730,E08,AZKA IT Consulting,Full Stack Developer,Mid,2024,4.4,4.6,4.3,4.7,4.2,No,Mejor salario
ENC000073,EMP05974,E06,BairesDev,Project Manager,Mid,2023,3.4,3.5,3.4,3.7,3.6,Tal vez,Mejor salario
ENC000074,EMP05974,E06,BairesDev,Project Manager,Mid,2024,3.0,2.9,3.3,2.4,3.3,Sí,Trabajo remoto
ENC000075,EMP06241,E07,Hexaware Technologies,Cloud Architect,Senior,2023,4.8,4.9,4.8,5.0,4.8,No,Mejor salario
ENC000076,EMP06241,E07,Hexaware Technologies,Cloud Architect,Senior,2024,3.9,4.1,3.9,3.3,3.5,Tal vez,N/A
ENC000077,EMP03246,E03,Neoris,Data Analyst,Junior,2023,4.7,4.5,4.5,4.9,4.7,No,Mejor salario
ENC000078,EMP03246,E03,Neoris,Data Analyst,Junior,2024,4.3,4.4,4.3,4.4,4.7,No,Mejor salario
ENC000079,EMP06467,E07,Hexaware Technologies,Cloud Architect,Mid,2023,3.5,4.1,3.6,3.4,3.4,No,Crecimiento profesional
ENC000080,EMP00697,E01,Accenture Monterrey,Software Developer,Mid,2023,3.5,3.7,3.0,2.7,3.3,No,Startup propia
ENC000081,EMP00697,E01,Accenture Monterrey,Software Developer,Mid,2024,4.8,4.5,4.9,4.7,4.8,No,Mejor salario
ENC000082,EMP05517,E05,Globant Monterrey,Cloud Architect,Mid,2023,3.5,3.0,3.9,3.6,3.7,Tal vez,Mejor salario
ENC000083,EMP05517,E05,Globant Monterrey,Cloud Architect,Mid,2024,3.4,2.5,3.7,3.3,3.7,No,Mejor salario
ENC000084,EMP01407,E01,Accenture Monterrey,Full Stack Developer,Mid,2023,4.8,4.8,4.6,4.4,4.7,Sí,Trabajo remoto
ENC000085,EMP01407,E01,Accenture Monterrey,Full Stack Developer,Mid,2024,3.5,3.0,3.6,3.6,3.6,Tal vez,Cambio de ciudad
ENC000086,EMP05953,E06,BairesDev,Backend Developer,Mid,2023,3.7,3.5,3.6,4.3,3.5,No,Mejor salario
ENC000087,EMP05953,E06,BairesDev,Backend Developer,Mid,2024,3.7,3.2,4.2,3.9,3.2,Sí,N/A
ENC000088,EMP02648,E02,Tata Consultancy Services,Data Analyst,Mid,2024,4.1,3.9,3.9,3.7,3.9,No,Crecimiento profesional
ENC000089,EMP07693,E11,Skye Group,Frontend Developer,Senior,2023,4.7,5.0,4.9,4.3,5.0,Sí,Crecimiento profesional
ENC000090,EMP07693,E11,Skye Group,Frontend Developer,Senior,2024,3.7,2.8,3.8,3.6,3.4,No,Trabajo remoto
ENC000091,EMP06054,E07,Hexaware Technologies,Backend Developer,Mid,2023,3.4,3.2,3.3,3.5,3.3,Sí,Trabajo remoto
ENC000092,EMP06054,E07,Hexaware Technologies,Backend Developer,Mid,2024,4.6,4.5,4.5,4.6,4.6,Tal vez,Crecimiento profesional
ENC000093,EMP06925,E09,Deintec,Data Analyst,Mid,2023,4.0,3.3,4.2,4.5,4.3,Tal vez,Trabajo remoto
ENC000094,EMP06925,E09,Deintec,Data Analyst,Mid,2024,3.9,3.9,4.0,3.9,4.0,Tal vez,Trabajo remoto
ENC000095,EMP00734,E01,Accenture Monterrey,Full Stack Developer,Senior,2023,3.6,3.2,4.1,3.6,3.4,No,Mejor salario
ENC000096,EMP00734,E01,Accenture Monterrey,Full Stack Developer,Senior,2024,3.8,3.5,3.8,3.8,3.5,No,Mejor salario
ENC000097,EMP04937,E05,Globant Monterrey,Cloud Architect,Mid,2023,4.2,4.1,4.2,4.8,4.1,No,Crecimiento profesional
ENC000098,EMP04937,E05,Globant Monterrey,Cloud Architect,Mid,2024,4.1,4.0,4.3,3.4,4.5,Tal vez,Crecimiento profesional
ENC000099,EMP00252,E01,Accenture Monterrey,Cybersecurity Analyst,Mid,2023,3.4,3.7,3.7,3.9,3.6,Tal vez,Startup propia
ENC000100,EMP00319,E01,Accenture Monterrey,DevOps Engineer,Mid,2024,3.9,3.4,4.3,3.4,3.9,No,Crecimiento profesional
ENC000101,EMP06057,E07,Hexaware Technologies,Cybersecurity Analyst,Junior,2024,3.6,3.8,3.9,3.1,3.6,Tal vez,Crecimiento profesional
ENC000102,EMP04694,E04,Infosys Monterrey,Data Analyst,Junior,2023,4.3,4.2,4.2,4.4,4.5,Sí,Mejor salario
ENC000103,EMP03480,E03,Neoris,Data Analyst,Mid,2023,4.5,4.3,4.8,4.5,4.3,No,Trabajo remoto
ENC000104,EMP03480,E03,Neoris,Data Analyst,Mid,2024,3.9,3.2,4.1,4.1,4.1,Tal vez,N/A
ENC000105,EMP07739,E12,TI Monterrey,Full Stack Developer,Junior,2023,4.5,3.6,4.6,5.0,4.4,No,Cambio de ciudad
ENC000106,EMP07739,E12,TI Monterrey,Full Stack Developer,Junior,2024,3.8,3.7,3.6,4.3,3.6,No,Mejor salario
ENC000107,EMP00749,E01,Accenture Monterrey,Cybersecurity Analyst,Mid,2023,4.6,4.6,4.6,4.4,4.9,Tal vez,Crecimiento profesional
ENC000108,EMP00749,E01,Accenture Monterrey,Cybersecurity Analyst,Mid,2024,4.5,4.3,4.8,4.2,4.7,No,Mejor salario
ENC000109,EMP03485,E03,Neoris,Full Stack Developer,Junior,2023,3.6,2.9,3.7,3.6,3.9,No,Crecimiento profesional
ENC000110,EMP03485,E03,Neoris,Full Stack Developer,Junior,2024,3.9,3.5,4.1,3.4,4.0,No,N/A
ENC000111,EMP02514,E02,Tata Consultancy Services,Full Stack Developer,Junior,2023,4.3,4.3,4.3,3.9,4.2,No,Trabajo remoto
ENC000112,EMP05046,E05,Globant Monterrey,Data Analyst,Senior,2023,3.9,3.4,4.0,3.5,3.7,No,Trabajo remoto
ENC000113,EMP05046,E05,Globant Monterrey,Data Analyst,Senior,2024,4.0,3.6,4.1,4.0,4.2,Tal vez,Trabajo remoto
ENC000114,EMP07790,E12,TI Monterrey,Backend Developer,Junior,2023,3.6,3.9,3.6,3.3,4.0,Sí,Crecimiento profesional
ENC000115,EMP07790,E12,TI Monterrey,Backend Developer,Junior,2024,4.0,3.7,4.2,3.6,3.9,No,Crecimiento profesional
ENC000116,EMP01673,E01,Accenture Monterrey,Backend Developer,Mid,2023,3.6,3.9,3.4,3.3,3.3,No,Trabajo remoto
ENC000117,EMP02253,E02,Tata Consultancy Services,Full Stack Developer,Junior,2023,3.5,3.5,3.5,3.2,3.5,No,Mejor salario
ENC000118,EMP02253,E02,Tata Consultancy Services,Full Stack Developer,Junior,2024,3.7,2.9,3.6,3.7,3.6,No,Mejor salario
ENC000119,EMP01863,E02,Tata Consultancy Services,Backend Developer,Mid,2023,4.0,3.7,3.9,3.4,4.1,Tal vez,Crecimiento profesional
ENC000120,EMP07474,E10,Axsis Tecnología,Data Analyst,Mid,2024,3.8,3.2,4.2,3.2,4.0,Sí,Mejor salario
ENC000121,EMP07887,E12,TI Monterrey,Backend Developer,Mid,2023,4.1,3.5,4.3,4.0,4.3,No,Startup propia
ENC000122,EMP00473,E01,Accenture Monterrey,Software Developer,Mid,2023,4.4,4.5,4.1,4.8,4.5,No,Trabajo remoto
ENC000123,EMP04375,E04,Infosys Monterrey,Backend Developer,Mid,2023,4.3,3.9,4.2,4.6,3.9,No,Trabajo remoto
ENC000124,EMP04375,E04,Infosys Monterrey,Backend Developer,Mid,2024,4.3,3.9,4.4,4.2,4.0,No,Mejor salario
ENC000125,EMP04380,E04,Infosys Monterrey,Backend Developer,Senior,2023,3.9,3.8,3.9,3.7,3.8,No,Trabajo remoto
ENC000126,EMP04380,E04,Infosys Monterrey,Backend Developer,Senior,2024,3.9,3.7,3.9,3.7,3.5,Tal vez,Mejor salario
ENC000127,EMP06200,E07,Hexaware Technologies,Backend Developer,Junior,2023,2.9,2.8,3.1,2.7,2.9,No,Startup propia
ENC000128,EMP06200,E07,Hexaware Technologies,Backend Developer,Junior,2024,3.2,3.1,3.2,3.2,3.0,No,Trabajo remoto
ENC000129,EMP04710,E04,Infosys Monterrey,Data Analyst,Junior,2024,4.0,3.7,3.8,4.3,4.1,Sí,Startup propia
ENC000130,EMP02488,E02,Tata Consultancy Services,Scrum Master,Mid,2023,3.9,3.7,4.2,3.8,4.0,Sí,Mejor salario
ENC000131,EMP02488,E02,Tata Consultancy Services,Scrum Master,Mid,2024,3.6,3.6,3.9,4.1,3.6,No,N/A
ENC000132,EMP04369,E04,Infosys Monterrey,Software Developer,Mid,2023,4.1,4.0,4.2,3.4,4.4,Tal vez,Trabajo remoto
ENC000133,EMP04369,E04,Infosys Monterrey,Software Developer,Mid,2024,4.0,3.8,4.2,3.7,4.0,No,Crecimiento profesional
ENC000134,EMP01727,E01,Accenture Monterrey,Software Developer,Junior,2024,3.2,3.0,3.4,3.4,3.2,Tal vez,Trabajo remoto
ENC000135,EMP07677,E11,Skye Group,Cloud Architect,Mid,2023,4.2,4.5,4.1,4.3,4.0,Tal vez,N/A
ENC000136,EMP07677,E11,Skye Group,Cloud Architect,Mid,2024,3.6,3.6,3.6,3.1,3.9,No,Mejor salario
ENC000137,EMP01502,E01,Accenture Monterrey,Data Analyst,Senior,2024,3.6,3.6,3.9,3.6,3.4,Tal vez,Crecimiento profesional
ENC000138,EMP00024,E01,Accenture Monterrey,Backend Developer,Junior,2023,4.5,4.3,4.8,4.4,4.3,No,Mejor salario
ENC000139,EMP00024,E01,Accenture Monterrey,Backend Developer,Junior,2024,3.7,3.3,3.8,3.3,3.6,Tal vez,Trabajo remoto
ENC000140,EMP05428,E05,Globant Monterrey,Full Stack Developer,Senior,2023,3.9,3.3,4.1,3.7,3.8,No,Trabajo remoto
ENC000141,EMP05483,E05,Globant Monterrey,Data Analyst,Mid,2023,3.9,3.7,3.8,4.1,3.9,Sí,Trabajo remoto
ENC000142,EMP03289,E03,Neoris,Cybersecurity Analyst,Junior,2023,3.9,3.6,4.3,3.3,3.5,Sí,Crecimiento profesional
ENC000143,EMP05891,E06,BairesDev,Cybersecurity Analyst,Junior,2024,4.5,4.2,5.0,4.5,4.3,No,Mejor salario
ENC000144,EMP01026,E01,Accenture Monterrey,Data Analyst,Mid,2023,4.7,4.6,4.5,4.6,5.0,No,Startup propia
ENC000145,EMP01026,E01,Accenture Monterrey,Data Analyst,Mid,2024,3.8,3.8,3.8,4.1,3.9,Sí,Crecimiento profesional
ENC000146,EMP05398,E05,Globant Monterrey,Data Analyst,Junior,2023,4.5,4.5,4.5,4.3,4.2,No,Trabajo remoto
ENC000147,EMP05398,E05,Globant Monterrey,Data Analyst,Junior,2024,4.5,4.9,4.3,4.5,4.7,Tal vez,Cambio de ciudad
ENC000148,EMP06966,E09,Deintec,Frontend Developer,Senior,2024,4.1,3.9,3.9,4.7,4.2,No,Cambio de ciudad
ENC000149,EMP01895,E02,Tata Consultancy Services,Frontend Developer,Mid,2023,4.2,4.3,4.3,4.0,4.1,No,Crecimiento profesional
ENC000150,EMP05395,E05,Globant Monterrey,Software Developer,Mid,2023,4.1,4.3,4.6,4.1,4.0,No,Crecimiento profesional
ENC000151,EMP03329,E03,Neoris,Full Stack Developer,Mid,2023,3.4,3.0,3.7,3.5,3.8,No,Cambio de ciudad
ENC000152,EMP03329,E03,Neoris,Full Stack Developer,Mid,2024,3.4,3.6,3.2,2.7,3.5,Tal vez,N/A
ENC000153,EMP04946,E05,Globant Monterrey,Backend Developer,Senior,2023,4.0,4.2,3.8,3.8,4.0,No,Mejor salario
ENC000154,EMP04946,E05,Globant Monterrey,Backend Developer,Senior,2024,4.7,4.3,4.4,4.3,4.6,No,Trabajo remoto
ENC000155,EMP04678,E04,Infosys Monterrey,Frontend Developer,Junior,2023,3.4,2.9,3.4,2.9,3.8,Sí,Mejor salario
ENC000156,EMP01756,E01,Accenture Monterrey,Software Developer,Senior,2024,4.8,4.9,5.0,4.6,5.0,No,Crecimiento profesional
ENC000157,EMP00971,E01,Accenture Monterrey,Data Analyst,Junior,2023,4.6,4.8,4.5,4.4,4.5,No,Mejor salario
ENC000158,EMP01481,E01,Accenture Monterrey,DevOps Engineer,Mid,2024,3.9,3.8,4.0,3.7,4.5,No,Crecimiento profesional
ENC000159,EMP00066,E01,Accenture Monterrey,Frontend Developer,Senior,2024,3.9,3.8,4.0,4.3,4.1,No,Crecimiento profesional
ENC000160,EMP05719,E06,BairesDev,Data Analyst,Mid,2023,3.1,3.0,3.0,3.2,3.3,No,Crecimiento profesional
ENC000161,EMP05753,E06,BairesDev,Software Developer,Mid,2023,4.6,4.4,4.5,4.6,4.6,No,Mejor salario
ENC000162,EMP01028,E01,Accenture Monterrey,Scrum Master,Mid,2023,3.5,3.5,3.4,3.7,3.6,No,Crecimiento profesional
ENC000163,EMP01028,E01,Accenture Monterrey,Scrum Master,Mid,2024,3.9,3.8,3.9,3.5,4.0,No,Startup propia
ENC000164,EMP06510,E08,AZKA IT Consulting,DevOps Engineer,Senior,2023,4.4,4.4,4.5,4.5,4.4,Tal vez,Mejor salario
ENC000165,EMP05703,E06,BairesDev,Backend Developer,Mid,2023,4.6,3.6,5.0,4.7,4.7,Sí,Trabajo remoto
ENC000166,EMP05703,E06,BairesDev,Backend Developer,Mid,2024,4.0,3.6,3.8,3.7,3.4,No,Trabajo remoto
ENC000167,EMP02307,E02,Tata Consultancy Services,Data Analyst,Junior,2023,3.5,3.7,3.5,4.1,3.7,Tal vez,Crecimiento profesional
ENC000168,EMP02307,E02,Tata Consultancy Services,Data Analyst,Junior,2024,3.9,3.3,4.1,3.8,3.8,Sí,Crecimiento profesional
ENC000169,EMP03876,E03,Neoris,Software Developer,Senior,2023,4.4,4.3,4.2,4.3,4.8,Tal vez,N/A
ENC000170,EMP03876,E03,Neoris,Software Developer,Senior,2024,5.0,4.9,5.0,4.5,5.0,Tal vez,Trabajo remoto
ENC000171,EMP07655,E11,Skye Group,DevOps Engineer,Mid,2023,3.5,3.2,3.4,3.4,3.5,No,N/A
ENC000172,EMP07655,E11,Skye Group,DevOps Engineer,Mid,2024,4.1,4.1,4.3,3.9,4.1,No,Mejor salario
ENC000173,EMP07525,E11,Skye Group,Backend Developer,Mid,2023,4.3,4.3,4.4,4.1,4.1,No,Trabajo remoto
ENC000174,EMP07525,E11,Skye Group,Backend Developer,Mid,2024,4.1,4.0,3.9,3.6,3.7,Tal vez,Cambio de ciudad
ENC000175,EMP03044,E02,Tata Consultancy Services,Frontend Developer,Junior,2023,4.4,4.0,4.6,4.0,4.0,Tal vez,Trabajo remoto
ENC000176,EMP01198,E01,Accenture Monterrey,Backend Developer,Junior,2023,4.3,4.2,4.5,4.4,4.3,No,Trabajo remoto
ENC000177,EMP06505,E08,AZKA IT Consulting,Scrum Master,Mid,2023,4.6,3.8,4.7,4.5,4.4,No,Crecimiento profesional
ENC000178,EMP02532,E02,Tata Consultancy Services,Frontend Developer,Mid,2023,4.5,4.1,4.7,4.6,4.7,No,Mejor salario
ENC000179,EMP02532,E02,Tata Consultancy Services,Frontend Developer,Mid,2024,5.0,5.0,5.0,5.0,4.7,No,Startup propia
ENC000180,EMP00995,E01,Accenture Monterrey,Backend Developer,Mid,2023,3.5,3.4,4.1,3.4,3.7,No,Crecimiento profesional
ENC000181,EMP00995,E01,Accenture Monterrey,Backend Developer,Mid,2024,4.1,4.3,4.2,4.3,3.9,No,Mejor salario
ENC000182,EMP03280,E03,Neoris,Full Stack Developer,Mid,2023,4.0,4.1,4.3,3.9,4.0,Tal vez,Mejor salario
ENC000183,EMP03280,E03,Neoris,Full Stack Developer,Mid,2024,4.8,4.3,5.0,4.7,4.8,Sí,Cambio de ciudad
ENC000184,EMP06048,E07,Hexaware Technologies,Software Developer,Mid,2023,2.8,2.9,2.8,2.6,3.3,No,Crecimiento profesional
ENC000185,EMP06048,E07,Hexaware Technologies,Software Developer,Mid,2024,4.6,4.8,4.7,4.7,4.7,Tal vez,Startup propia
ENC000186,EMP01545,E01,Accenture Monterrey,Software Developer,Mid,2024,3.4,3.6,3.1,2.9,3.2,No,Crecimiento profesional
ENC000187,EMP03933,E03,Neoris,Backend Developer,Mid,2023,3.5,4.1,3.7,3.4,3.5,No,Mejor salario
ENC000188,EMP01871,E02,Tata Consultancy Services,Software Developer,Junior,2023,3.4,2.6,3.4,3.2,3.8,Sí,Crecimiento profesional
ENC000189,EMP01871,E02,Tata Consultancy Services,Software Developer,Junior,2024,3.7,3.9,3.9,4.2,4.0,Tal vez,Crecimiento profesional
ENC000190,EMP02967,E02,Tata Consultancy Services,Backend Developer,Junior,2023,4.2,4.0,4.3,3.8,4.3,No,Mejor salario
ENC000191,EMP02967,E02,Tata Consultancy Services,Backend Developer,Junior,2024,3.2,3.1,2.9,3.1,3.6,Tal vez,Mejor salario
ENC000192,EMP04815,E04,Infosys Monterrey,Backend Developer,Junior,2023,3.7,3.4,3.5,3.5,3.8,Tal vez,Mejor salario
ENC000193,EMP00743,E01,Accenture Monterrey,Frontend Developer,Mid,2023,3.5,3.3,3.7,3.2,3.5,No,Crecimiento profesional
ENC000194,EMP00743,E01,Accenture Monterrey,Frontend Developer,Mid,2024,3.4,3.4,3.3,3.3,3.5,No,Crecimiento profesional
ENC000195,EMP07304,E10,Axsis Tecnología,Cloud Architect,Senior,2023,3.9,4.1,3.9,4.1,3.9,No,Mejor salario
